sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.303;3;;60rounds;Yes;No;2;0.00000;1.00000;0.00000;0.76419;1.00000;Atlas@0;Agent_K@1;0.0;1.0;0.0;1.0;0.9780591604185713;0.0;0.0;0.0;0.0;1.0;u_laptop_util1.xml;u_laptop_util2.xml
1.463;42;;60rounds;Yes;No;2;0.39993;0.85137;0.00000;0.33467;1.25130;Agent_K@2;Atlas@3;0.8513749227882704;0.39992932115308966;0.8513749227882704;0.39992932115308966;0.0;1.0;0.0;0.0;0.8513749227882704;0.39992932115308966;u_laptop_util1.xml;u_laptop_util2.xml
0.203;3;;60rounds;Yes;No;2;0.00000;1.00000;0.00000;0.76419;1.00000;Atlas@0;KLH@1;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;u_laptop_util1.xml;u_laptop_util2.xml
0.070;2;;60rounds;Yes;No;2;0.10007;1.00000;0.00000;0.66934;1.10007;KLH@2;Atlas@3;0.9999999999999999;0.10007066201143291;0.9999999999999999;0.10007066201143291;0.0;0.9819396041176793;0.0;0.0;0.9999999999999999;0.10007066201143291;u_laptop_util1.xml;u_laptop_util2.xml
1.689;61;;60rounds;No;No;1;0.00000;0.00000;0.89539;0.99175;0.00000;Atlas@0;CUHKAgent@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;u_laptop_util1.xml;u_laptop_util2.xml
1.297;61;;60rounds;No;No;1;0.00000;0.00000;0.89539;0.99175;0.00000;CUHKAgent@2;Atlas@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;u_laptop_util1.xml;u_laptop_util2.xml
0.282;3;;60rounds;Yes;No;2;0.00000;1.00000;0.00000;0.76419;1.00000;Atlas@0;GrandmaAgent@1;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;u_laptop_util1.xml;u_laptop_util2.xml
1.373;61;;60rounds;Yes;No;2;0.40243;0.79986;0.00000;0.31656;1.20229;GrandmaAgent@2;Atlas@3;0.40242641793197687;0.7998586759771341;0.40242641793197687;0.7998586759771341;0.42857142857142855;0.9484716114145486;0.0;0.0;0.40242641793197687;0.7998586759771341;u_laptop_util1.xml;u_laptop_util2.xml
1.224;61;;60rounds;No;No;1;0.00000;0.00000;0.89539;0.99175;0.00000;Atlas@0;Gahboninho@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;u_laptop_util1.xml;u_laptop_util2.xml
1.393;61;;60rounds;No;No;1;0.00000;0.00000;0.89539;0.99175;0.00000;Gahboninho@2;Atlas@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;u_laptop_util1.xml;u_laptop_util2.xml
1.199;61;;60rounds;Yes;No;2;0.30032;0.89993;0.00000;0.44945;1.20025;Atlas@0;Atlas32016@1;0.300323427644564;0.8999293043176123;0.300323427644564;0.8999293043176123;1.0;0.6;0.0;0.0;0.300323427644564;0.8999293043176123;u_laptop_util1.xml;u_laptop_util2.xml
1.031;61;;60rounds;Yes;No;2;0.30021;0.59757;0.27269;0.41319;0.89779;Atlas32016@2;Atlas@3;0.597573582068023;0.3002119860342988;0.597573582068023;0.3002119860342988;0.5714285714285714;0.9539440403643833;0.0;0.0;0.597573582068023;0.3002119860342988;u_laptop_util1.xml;u_laptop_util2.xml
