sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.035;30;;60rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@0;ConcederNegotiationParty@1;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.006;10;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@2;BoulwareNegotiationParty@3;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.002;3;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;SimpleAgent@4;BoulwareNegotiationParty@5;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.036;56;;60rounds;Yes;No;2;0.49083;0.50455;0.43045;0.51607;0.99538;RandomCounterOfferNegotiationParty@6;BoulwareNegotiationParty@7;0.49083333333333323;0.5045462592393629;0.49083333333333323;0.5045462592393629;0.49083333333333323;0.5045462592393629;0.0;0.0;0.49083333333333323;0.5045462592393629;party1_utility.xml;party2_utility.xml
0.028;46;;60rounds;Yes;No;2;0.56667;0.82423;0.19823;0.24198;1.39090;RandomParty@8;BoulwareNegotiationParty@9;0.5666666666666667;0.8242344857436588;0.5666666666666667;0.8242344857436588;0.5666666666666667;0.8242344857436588;0.0;0.0;0.5666666666666667;0.8242344857436588;party1_utility.xml;party2_utility.xml
0.033;54;;60rounds;Yes;No;2;0.70874;0.81833;0.06688;0.22234;1.52708;RandomParty2@10;BoulwareNegotiationParty@11;0.8183333333333335;0.7087418378700396;0.8183333333333335;0.7087418378700396;0.8183333333333335;0.7087418378700396;0.0;0.0;0.8183333333333335;0.7087418378700396;party1_utility.xml;party2_utility.xml
0.039;53;;60rounds;Yes;No;2;0.63008;0.71500;0.17546;0.30658;1.34508;AgentF@12;BoulwareNegotiationParty@13;0.715;0.6300806389200568;0.715;0.6300806389200568;0.715;0.6300806389200568;0.0;0.0;0.715;0.6300806389200568;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@4d95d2a2 failed: failed to construct agent : Execution failed of init<CaduceusDC16@14,Participant[Party14,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;CaduceusDC16;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@6acdbdf5 failed: failed to construct agent : Execution failed of init<ShahAgent@16,Participant[Party16,PartyRepositoryItem[ShahAgent,agents.anac.y2017.parsagent3.ShahAgent,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.parsagent3.ShahAgent, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;ShahAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@3712b94 failed: failed to construct agent : Execution failed of init<Mamenchis@18,Participant[Party18,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Mamenchis;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
