sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.194;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Agent_K@0;KLH@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.110;59;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;KLH@2;Agent_K@3;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.111;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@4;Agent_K@5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.162;44;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2011@6;Agent_K@7;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.111;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;CUHKAgent@8;Agent_K@9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.119;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TimeDependentAgentHardliner@10;Agent_K@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.016;3;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;AgentM@12;Agent_K@13;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.137;53;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;AgentLG@14;Agent_K@15;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.196;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheFawkes@16;Agent_K@17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.259;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;MetaAgent2013@18;Agent_K@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.126;52;;60rounds;Yes;No;2;0.75700;0.81833;0.06285;0.17477;1.57534;Atlas32016@20;Agent_K@21;0.8183333333333332;0.7570048124820374;0.8183333333333332;0.7570048124820374;0.8183333333333332;0.0;0.0;0.0;0.8183333333333332;0.7570048124820374;party1_utility.xml;party2_utility.xml
1.187;48;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;ParsAgent@22;Agent_K@23;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.108;61;;60rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Mercury@24;Agent_K@25;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.0;0.0;0.0;0.7850000000000001;0.9041140069845697;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@6f195bc3 failed: failed to construct agent : Execution failed of init<CaduceusDC16@26,Participant[Party26,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16, agents.anac.y2010.AgentK.Agent_K];60rounds;No;;0;;;;;;CaduceusDC16;Agent_K;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.140;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;YXAgent@28;Agent_K@29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.099;45;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;PonPokoAgent@30;Agent_K@31;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
;4;Session genius.core.session.Session@fad74ee failed: Failed to execute protocol: Execution failed of Rubick@32:java.lang.NullPointerException: null:[agents.anac.y2017.rubick.Rubick, agents.anac.y2010.AgentK.Agent_K];60rounds;No;;0;;;;;;Rubick;Agent_K;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.165;53;;60rounds;Yes;No;2;0.64973;0.92917;0.02068;0.31390;1.57890;JonnyBlack@34;Agent_K@35;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.0;0.0;0.0;0.9291666666666667;0.6497308213786102;party1_utility.xml;party2_utility.xml
0.973;53;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;atlas@36;Agent_K@37;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.0;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.113;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Agent_K@38;Gahboninho@39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.071;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@40;Gahboninho@41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.068;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@42;KLH@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
